Year,Team,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS
2011,Santa Clara,24,14,73.9,70.8,3.16,1.25,4.89,-1.83,3.06
2011,Fairfield,25,8,65.2,58.3,6.85,-3.91,-4.4,7.33,2.94
2011,James Madison,21,12,71.4,68.4,2.97,-0.03,4.08,-1.14,2.94
2011,Buffalo,20,14,70.6,64.6,5.94,-2.22,0.29,2.64,2.93
2011,Saint Louis,12,19,63.0,62.4,0.65,3.06,-4.91,7.74,2.83
2011,Morehead St.,25,10,68.9,61.8,7.14,-3.13,-1.68,4.49,2.81
2011,Air Force,16,16,64.8,65.1,-0.25,3.31,-1.94,4.65,2.71
2011,Utah,13,18,67.0,70.2,-3.19,6.56,2.25,0.21,2.46
2011,Bucknell,25,9,70.2,63.9,6.26,-3.87,-1.02,3.42,2.39
2011,Coastal Carolina,28,6,76.4,64.1,12.32,-5.15,1.7,0.65,2.35
2011,LIU,27,6,82.7,74.7,8.0,-5.77,11.47,-9.24,2.23
2011,Montana,21,11,67.2,60.9,6.28,-2.47,-4.18,6.34,2.17
2011,Akron,23,13,70.1,65.7,4.42,-1.02,0.77,1.37,2.15
2011,New Mexico St.,16,17,71.6,70.2,1.45,2.66,3.66,-1.55,2.11
2011,East Tennessee St.,24,12,69.9,64.4,5.42,-2.12,-1.41,3.49,2.08
2011,Detroit Mercy,17,16,74.5,72.6,1.88,0.91,6.77,-4.89,1.88
2011,San Francisco,19,15,70.1,70.6,-0.5,3.06,1.55,0.23,1.78
2011,Loyola Chicago,16,15,69.5,66.6,2.84,-1.1,0.6,1.13,1.73
2011,East Carolina,18,16,68.2,67.3,0.91,2.99,0.93,0.74,1.67
2011,Rice,14,18,67.1,67.2,-0.03,2.67,-0.18,1.85,1.67
2011,Rider,23,11,73.1,68.8,4.29,-2.67,4.27,-2.65,1.62
2011,Oregon St.,11,20,69.3,72.8,-3.52,5.03,3.3,-1.79,1.51
2011,Milwaukee,19,14,68.7,69.7,-1.03,2.51,1.29,0.19,1.48
2011,Northern Colorado,21,11,71.5,65.8,5.69,-2.24,1.69,-0.3,1.39
2011,St. Bonaventure,16,15,69.5,70.0,-0.42,1.73,1.79,-0.48,1.31
2011,UC Santa Barbara,18,14,67.8,65.8,2.03,0.12,-1.32,2.53,1.22
2011,SMU,20,15,64.6,61.3,3.29,-0.39,-4.93,5.97,1.04
2011,TCU,11,22,67.3,70.2,-2.97,3.93,0.71,0.26,0.96
2011,Oral Roberts,19,16,74.7,72.7,2.03,-1.17,4.3,-3.44,0.86
2011,Pacific,16,15,65.7,62.7,3.0,-0.88,-4.87,5.62,0.75
2011,Northern Arizona,19,13,71.8,64.9,6.91,-3.72,0.64,-0.02,0.62
2011,Ohio,19,16,74.4,72.8,1.6,-1.01,6.01,-5.42,0.59
2011,Hawaii,19,13,69.3,67.2,2.03,-0.87,-0.21,0.72,0.51
2011,Murray St.,23,9,68.6,61.8,6.72,-4.85,-3.67,4.12,0.45
2011,IUPUI,19,14,71.6,69.2,2.48,-0.84,-0.2,0.59,0.39
2011,Nevada,13,19,70.2,71.2,-1.06,1.88,2.05,-1.71,0.34
2011,Idaho,18,14,67.9,66.7,1.19,-0.64,-1.39,1.59,0.2
2011,Vermont,23,9,67.1,61.6,5.47,-5.33,-2.35,2.49,0.14
2011,Hofstra,21,12,70.8,69.7,1.06,0.13,2.43,-2.46,-0.03
2011,La Salle,15,18,76.8,78.6,-1.79,1.7,9.73,-9.81,-0.08
2011,George Washington,17,14,64.9,65.3,-0.45,0.36,-3.45,3.35,-0.1
2011,Austin Peay,20,14,73.8,67.0,6.79,-3.77,1.56,-1.71,-0.15
2011,Green Bay,14,18,67.3,68.4,-1.09,2.18,-0.13,-0.08,-0.21
2011,Fresno St.,14,17,67.6,67.4,0.23,0.58,-1.33,1.08,-0.25
2011,Saint Peter's,20,14,60.9,60.1,0.79,-1.08,-8.05,7.77,-0.28
2011,Tulane,13,17,68.6,65.8,2.73,-0.68,-1.12,0.84,-0.28
2011,Evansville,16,16,66.3,67.1,-0.78,1.8,-0.72,0.42,-0.3
2011,Furman,22,11,68.8,64.4,4.45,-3.65,-2.43,2.07,-0.36
2011,Davidson,18,15,72.5,68.7,3.82,-2.17,1.29,-1.68,-0.39
2011,UNC Asheville,20,14,73.7,68.6,5.09,-2.89,1.73,-2.42,-0.69
2011,Ball St.,19,13,67.6,64.0,3.59,-3.4,-2.22,1.52,-0.7
2011,Western Michigan,21,13,71.8,68.3,3.5,-2.52,1.59,-2.29,-0.7
2011,Massachusetts,15,15,66.3,68.0,-1.7,1.93,-2.18,1.41,-0.76
2011,Robert Morris,18,14,67.3,65.5,1.81,-2.61,-3.17,2.37,-0.8
2011,Lipscomb,17,13,76.2,73.8,2.47,-2.65,5.61,-6.57,-0.96
2011,DePaul,7,24,67.9,76.7,-8.84,7.53,3.78,-5.09,-1.31
2011,Jacksonville,20,12,68.0,65.4,2.56,-3.68,-1.99,0.57,-1.42
2011,North Texas,22,11,76.2,71.5,4.79,-5.07,4.61,-6.1,-1.49
2011,Bradley,12,20,64.9,67.6,-2.75,1.67,-1.69,0.16,-1.52
2011,North Dakota St.,14,15,75.4,71.1,4.34,-3.5,2.6,-4.13,-1.54
2011,San Jose St.,17,16,72.5,72.9,-0.42,-0.08,3.25,-4.79,-1.54
2011,Miami OH,16,17,66.4,70.3,-3.91,3.04,-0.88,-0.7,-1.58
2011,Weber St.,18,14,70.1,67.0,3.09,-1.74,-1.34,-0.3,-1.64
2011,Saint Joseph's,11,22,64.5,69.7,-5.21,3.46,-1.36,-0.39,-1.75
2011,Cal Poly,15,15,59.3,58.9,0.43,-2.39,-11.08,9.24,-1.84
2011,Central Connecticut,19,12,70.0,66.0,4.03,-5.97,-1.75,-0.19,-1.94
2011,Quinnipiac,22,10,71.7,67.4,4.31,-6.39,0.81,-2.88,-2.08
2011,LSU,11,21,62.2,66.6,-4.34,2.26,-5.18,3.1,-2.09
2011,Purdue Fort Wayne,18,12,74.3,70.1,4.23,-5.17,0.28,-2.45,-2.17
2011,Sam Houston St.,18,13,69.7,66.1,3.61,-3.9,-1.03,-1.35,-2.38
2011,Florida Atlantic,21,11,68.5,66.8,1.69,-2.61,-3.82,1.41,-2.41
2011,Southern Illinois,13,19,61.0,65.0,-3.94,1.48,-5.9,3.44,-2.46
2011,Auburn,11,20,62.4,66.2,-3.81,2.4,-4.1,1.63,-2.47
2011,Boston University,21,14,64.9,63.5,1.37,-3.85,-3.87,1.39,-2.48
2011,Charlotte,10,20,66.6,71.0,-4.43,1.89,-0.22,-2.32,-2.54
2011,Drake,13,18,64.4,67.7,-3.32,0.76,-2.69,0.13,-2.56
2011,Northeastern,11,20,66.6,70.4,-3.84,1.17,-0.11,-2.57,-2.67
2011,Houston,12,18,68.7,69.7,-1.03,0.55,0.23,-2.94,-2.71
2011,Middle Tennessee,16,16,69.3,66.3,3.03,-4.45,-2.65,-0.09,-2.74
2011,Loyola Marymount,11,21,70.8,72.3,-1.47,0.27,0.5,-3.3,-2.79
2011,Yale,15,13,68.1,67.3,0.82,-2.72,-2.62,-0.29,-2.91
2011,Canisius,15,15,68.1,67.5,0.63,-3.55,-2.4,-0.52,-2.92
2011,Penn,13,15,66.7,68.1,-1.36,-1.64,-2.73,-0.26,-2.99
2011,American,22,9,66.2,63.6,2.52,-5.64,-5.7,2.57,-3.13
2011,Wyoming,10,21,65.9,69.7,-3.77,3.53,-2.64,-0.52,-3.16
2011,Loyola MD,15,15,67.4,67.0,0.4,-3.68,-1.39,-1.89,-3.28
2011,Stephen F. Austin,18,11,66.4,56.7,9.76,-7.73,-11.08,7.79,-3.29
2011,Illinois St.,12,19,61.1,63.8,-2.71,-0.66,-6.66,3.29,-3.37
2011,Arkansas St.,17,15,68.4,64.6,3.81,-3.31,-3.67,0.29,-3.38
2011,UNC Wilmington,13,18,63.7,66.7,-2.97,-0.44,-4.19,0.78,-3.41
2011,Western Carolina,18,15,69.8,68.9,0.85,-2.86,-1.72,-1.82,-3.54
2011,Cornell,10,18,68.1,70.1,-2.0,-1.6,-0.25,-3.35,-3.6
2011,UC Irvine,13,19,75.3,75.6,-0.25,-2.36,5.13,-8.91,-3.78
2011,Delaware,14,17,62.9,66.6,-3.68,-0.11,-4.89,1.11,-3.79
2011,Western Kentucky,16,16,70.1,70.7,-0.66,-3.15,-0.34,-3.46,-3.8
2011,Siena,13,18,67.8,70.0,-2.13,-1.71,-0.64,-3.2,-3.83
2011,Pepperdine,12,21,69.4,74.0,-4.64,1.43,0.83,-4.75,-3.91
2011,Denver,13,17,60.0,60.6,-0.57,-3.48,-11.16,7.12,-4.04
2011,Lehigh,16,15,73.6,72.0,1.61,-5.69,3.27,-7.34,-4.07
2011,Mercer,15,18,67.3,68.4,-1.15,-2.17,-2.25,-1.83,-4.08
2011,Georgia St.,12,19,61.9,64.1,-2.23,-1.92,-7.22,3.08,-4.15
2011,VMI,18,13,87.9,82.1,5.84,-5.45,13.26,-17.49,-4.23
2011,Little Rock,19,17,68.3,67.4,0.86,-2.97,-3.48,-0.85,-4.32
2011,William & Mary,10,22,64.1,67.9,-3.84,0.49,-3.43,-0.95,-4.38
2011,Wake Forest,8,24,67.2,77.2,-9.94,5.51,1.59,-6.02,-4.43
2011,McNeese St.,21,12,74.1,71.3,2.79,-4.39,0.25,-4.95,-4.7
2011,Appalachian St.,16,15,73.1,73.2,-0.13,-2.95,0.38,-5.19,-4.81
2011,Charleston Southern,16,16,73.8,68.7,5.16,-4.57,-1.31,-3.55,-4.86
2011,Maine,15,15,69.6,67.0,2.63,-5.84,-0.99,-3.88,-4.87
2011,Hampton,24,9,66.6,62.7,3.85,-8.77,-6.55,1.35,-5.2
2011,Columbia,15,13,70.8,71.0,-0.21,-4.81,-0.51,-4.72,-5.22
2011,Cal St. Northridge,14,18,69.8,71.3,-1.5,-1.55,-1.37,-3.98,-5.35
2011,Winthrop,13,17,65.8,66.9,-1.1,-3.2,-5.58,0.21,-5.38
2011,Louisiana,14,15,70.9,71.3,-0.41,-4.19,-0.69,-4.76,-5.45
2011,St. Francis NY,15,15,66.7,66.3,0.4,-5.85,-4.64,-0.81,-5.45
2011,Liberty,19,13,67.7,65.6,2.03,-4.86,-5.52,-0.1,-5.62
2011,Tennessee Tech,20,13,74.6,69.9,4.7,-5.77,1.73,-7.37,-5.64
2011,UC Davis,10,20,71.2,73.1,-1.93,-1.9,1.19,-6.88,-5.69
2011,Nicholls St.,14,14,65.6,61.8,3.79,-4.52,-10.21,4.49,-5.72
2011,UTSA,20,14,70.1,69.5,0.62,-4.93,-1.8,-4.01,-5.8
2011,Bowling Green,14,19,64.1,67.1,-3.0,-2.03,-5.95,0.01,-5.94
2011,Louisiana Tech,12,20,64.1,67.9,-3.84,-0.99,-6.25,0.26,-5.99
2011,North Florida,15,19,64.9,71.5,-6.56,0.31,-3.3,-2.95,-6.25
2011,Illinois Chicago,7,24,62.7,69.4,-6.74,1.98,-5.65,-0.66,-6.32
2011,Holy Cross,8,21,67.2,69.0,-1.83,-4.55,-3.37,-3.01,-6.38
2011,Youngstown St.,9,21,69.1,74.2,-5.13,0.93,0.81,-7.21,-6.4
2011,Elon,14,17,74.2,74.2,0.0,-3.32,1.03,-7.57,-6.54
2011,Wagner,13,17,67.6,70.5,-2.87,-3.67,-2.18,-4.36,-6.54
2011,Campbell,12,19,65.5,67.5,-1.9,-4.27,-5.65,-1.02,-6.67
2011,Lamar,13,17,82.1,76.0,6.13,-5.96,5.1,-11.78,-6.69
2011,Stony Brook,15,17,61.0,60.4,0.53,-6.2,-9.93,3.08,-6.85
2011,Montana St.,13,18,67.1,68.7,-1.65,-3.22,-4.2,-2.81,-7.01
2011,Albany,16,16,62.9,64.0,-1.09,-5.96,-7.07,0.01,-7.05
2011,Tennessee St.,14,16,68.1,68.0,0.13,-4.73,-2.63,-4.49,-7.12
2011,Lafayette,13,19,69.9,72.2,-2.28,-4.19,-1.78,-5.48,-7.26
2011,Brown,11,17,71.5,73.4,-1.86,-4.12,0.9,-8.16,-7.27
2011,Eastern Kentucky,15,16,66.0,63.1,2.87,-6.48,-7.04,-0.3,-7.34
2011,UT Arlington,13,16,70.9,68.7,2.14,-5.47,-3.55,-4.04,-7.59
2011,Texas St.,16,16,78.3,78.4,-0.13,-5.89,4.09,-11.73,-7.65
2011,Cal St. Fullerton,11,20,71.2,75.0,-3.81,-2.81,2.06,-9.74,-7.68
2011,Presbyterian,13,18,61.8,66.6,-4.87,-2.85,-8.41,0.69,-7.72
2011,Portland St.,14,16,72.3,74.3,-2.03,-4.47,0.68,-8.42,-7.74
2011,Utah Valley,19,11,75.9,68.5,7.4,-9.97,-1.68,-6.1,-7.78
2011,Southern Utah,11,19,69.2,73.1,-3.83,-3.44,-2.97,-4.83,-7.8
2011,Central Michigan,10,21,59.4,64.7,-5.32,-2.41,-10.38,2.37,-8.01
2011,Morgan St.,17,14,66.5,66.8,-0.32,-7.72,-7.04,-1.0,-8.04
2011,Northern Illinois,9,21,68.5,73.3,-4.8,-2.26,-1.12,-6.94,-8.05
2011,Towson,4,26,68.4,76.0,-7.53,-0.52,0.8,-8.86,-8.06
2011,UC Riverside,12,19,65.9,69.8,-3.87,-1.4,-5.2,-3.06,-8.26
2011,Eastern Washington,10,20,67.4,70.6,-3.2,-2.22,-5.44,-3.07,-8.5
2011,San Diego,6,24,60.9,70.5,-9.6,3.18,-9.42,0.82,-8.6
2011,Coppin St.,16,14,72.5,72.3,0.2,-7.66,-0.34,-8.36,-8.7
2011,Fordham,7,21,64.1,73.9,-9.79,1.01,-4.0,-4.77,-8.77
2011,Northwestern St.,18,14,76.9,77.6,-0.63,-7.02,4.18,-13.06,-8.88
2011,UMKC,16,14,70.0,73.9,-3.9,-4.46,-2.62,-6.29,-8.91
2011,Southeastern Louisiana,15,14,70.0,69.1,0.97,-5.4,-5.46,-3.48,-8.93
2011,Eastern Michigan,9,22,61.5,65.5,-4.0,-3.11,-9.53,0.43,-9.11
2011,Gardner Webb,11,21,62.0,66.5,-4.5,-2.72,-9.09,-0.13,-9.22
2011,Mount St. Mary's,11,21,60.6,66.4,-5.75,-3.47,-9.12,-0.11,-9.22
2011,Seattle,11,20,69.0,75.9,-6.9,-2.36,-1.66,-7.61,-9.26
2011,FIU,11,19,71.7,75.4,-3.73,-4.23,0.81,-10.14,-9.33
2011,Sacred Heart,11,18,66.3,69.6,-3.28,-6.12,-4.61,-4.79,-9.4
2011,Chattanooga,16,16,71.1,74.4,-3.31,-2.67,-1.03,-8.41,-9.44
2011,Troy,8,21,71.6,77.3,-5.76,-2.05,1.15,-10.62,-9.48
2011,Monmouth,9,21,60.6,65.9,-5.27,-4.4,-9.89,0.23,-9.67
2011,South Dakota,18,15,79.8,76.0,3.79,-10.48,2.68,-12.4,-9.72
2011,South Alabama,12,16,70.3,72.9,-2.57,-4.34,-1.49,-8.32,-9.8
2011,The Citadel,10,22,64.0,69.9,-5.88,-2.84,-7.17,-2.67,-9.84
2011,UNC Greensboro,7,24,71.1,80.7,-9.58,-0.37,1.73,-11.68,-9.95
2011,Hartford,11,20,59.9,64.4,-4.48,-5.55,-9.94,-0.1,-10.04
2011,New Hampshire,12,18,58.3,60.9,-2.57,-6.32,-12.93,2.86,-10.07
2011,Texas Southern,19,13,64.3,65.4,-1.13,-9.02,-8.64,-1.5,-10.14
2011,Florida Gulf Coast,10,20,65.7,72.8,-7.17,-3.11,-4.3,-5.97,-10.27
2011,Jackson St.,17,15,65.5,62.8,2.72,-10.86,-8.76,-1.67,-10.43
2011,Navy,11,20,68.2,72.7,-4.55,-5.56,-4.68,-5.98,-10.66
2011,Army,11,19,67.9,71.4,-3.43,-6.58,-3.43,-7.29,-10.71
2011,Stetson,8,23,64.1,71.9,-7.81,-2.86,-4.83,-5.9,-10.73
2011,Idaho St.,9,20,64.8,72.3,-7.52,-1.87,-6.12,-4.64,-10.76
2011,Bethune Cookman,21,13,65.9,65.9,0.03,-8.04,-7.7,-3.4,-11.11
2011,Jacksonville St.,5,25,60.9,65.8,-4.87,-5.41,-10.75,-0.41,-11.16
2011,Samford,12,19,60.6,66.8,-6.19,-4.22,-11.22,-0.17,-11.39
2011,Eastern Illinois,9,20,60.3,64.7,-4.34,-4.89,-10.95,-0.46,-11.41
2011,Cal St. Bakersfield,9,19,68.1,77.4,-9.29,-2.16,-2.43,-9.02,-11.44
2011,St. Francis PA,9,21,65.2,72.9,-7.67,-3.84,-5.41,-6.09,-11.5
2011,Manhattan,6,25,60.1,69.7,-9.65,-2.01,-8.51,-3.15,-11.66
2011,North Dakota,19,15,68.2,68.4,-0.24,-8.7,-6.49,-5.34,-11.83
2011,Niagara,9,23,61.4,70.3,-8.88,-3.02,-7.59,-4.31,-11.89
2011,North Carolina A&T,15,17,71.3,74.1,-2.81,-6.26,-1.06,-10.99,-12.06
2011,Delaware St.,9,21,62.5,65.6,-3.1,-6.39,-11.22,-0.96,-12.18
2011,Norfolk St.,12,20,69.9,74.7,-4.75,-7.45,-2.09,-10.11,-12.2
2011,Southeast Missouri St.,10,22,66.2,71.3,-5.13,-5.4,-5.06,-7.21,-12.27
2011,Texas A&M Corpus Chris,10,21,62.7,70.8,-8.1,-2.09,-9.33,-2.98,-12.31
2011,USC Upstate,5,25,58.2,69.7,-11.5,-0.94,-10.76,-1.68,-12.44
2011,Tennessee Martin,12,21,68.6,74.4,-5.76,-5.0,-2.92,-9.85,-12.77
2011,High Point,12,19,66.1,72.6,-6.45,-4.47,-6.09,-6.73,-12.82
2011,Bryant,9,21,66.7,75.3,-8.57,-3.12,-4.14,-8.84,-12.98
2011,North Carolina Central,15,15,68.7,70.1,-1.37,-8.03,-6.2,-6.82,-13.03
2011,NJIT,15,15,68.8,68.4,0.43,-9.64,-8.77,-4.41,-13.18
2011,Fairleigh Dickinson,5,24,64.3,72.7,-8.34,-5.0,-6.55,-6.79,-13.34
2011,Alabama St.,17,18,61.3,63.8,-2.51,-10.31,-11.22,-2.15,-13.37
2011,Marist,6,27,60.0,72.2,-12.24,-1.46,-8.46,-5.24,-13.7
2011,Binghamton,8,23,60.0,68.5,-8.45,-5.35,-9.58,-4.22,-13.81
2011,Mississippi Valley St.,13,19,68.3,74.8,-6.47,-7.48,-3.09,-10.86,-13.95
2011,Sacramento St.,7,21,61.8,69.6,-7.82,-4.05,-9.67,-4.34,-14.01
2011,Kennesaw St.,8,23,65.1,74.8,-9.77,-3.29,-5.8,-8.26,-14.06
2011,Louisiana Monroe,7,24,60.0,68.6,-8.61,-3.96,-11.2,-3.07,-14.27
2011,Toledo,4,28,57.9,70.2,-12.31,-0.88,-10.92,-3.83,-14.75
2011,Dartmouth,5,23,59.5,71.0,-11.46,-3.39,-10.85,-4.01,-14.86
2011,Western Illinois,7,23,57.3,64.8,-7.53,-4.43,-16.35,1.21,-15.14
2011,Alabama A&M,13,15,64.6,66.8,-2.21,-11.75,-10.32,-4.86,-15.19
2011,Colgate,7,23,64.9,75.7,-10.77,-5.03,-6.13,-9.67,-15.8
2011,Georgia Southern,5,27,65.3,75.7,-10.41,-3.13,-8.7,-7.19,-15.88
2011,Longwood,12,19,76.3,82.3,-6.06,-3.62,0.9,-16.92,-16.02
2011,UT Rio Grande Valley,6,25,68.2,76.0,-7.84,-6.41,-8.43,-8.12,-16.55
2011,South Carolina St.,10,22,66.2,71.1,-4.91,-8.57,-8.53,-8.18,-16.71
2011,Radford,5,24,59.8,71.2,-11.41,-2.52,-11.82,-4.94,-16.76
2011,Florida A&M,12,20,64.2,68.6,-4.41,-8.71,-10.1,-6.72,-16.82
2011,Houston Christian,5,26,69.0,78.4,-9.32,-8.72,-5.12,-13.28,-18.41
2011,Grambling St.,12,21,60.5,68.5,-8.0,-10.45,-11.99,-6.46,-18.45
2011,UMBC,5,25,64.3,78.5,-14.2,-4.27,-5.08,-13.39,-18.47
2011,Howard,6,24,58.4,69.9,-11.5,-7.3,-13.24,-5.56,-18.8
2011,Central Arkansas,5,24,68.4,76.4,-8.0,-5.39,-6.19,-12.97,-19.16
2011,Maryland Eastern Shore,9,22,67.6,77.7,-10.06,-7.42,-5.48,-13.87,-19.35
2011,Prairie View A&M,10,22,62.8,70.1,-7.22,-8.77,-11.31,-8.32,-19.63
2011,Arkansas Pine Bluff,7,24,59.7,71.6,-11.97,-8.03,-11.44,-8.56,-20.0
2011,SIU Edwardsville,8,21,64.8,77.5,-12.72,-3.67,-8.57,-13.83,-22.39
2011,Alcorn St.,4,24,65.6,80.6,-15.0,-8.02,-5.29,-17.72,-23.02
2011,Southern,4,26,56.7,72.1,-15.37,-9.47,-16.53,-9.08,-25.62
2011,Chicago St.,6,26,66.5,86.6,-20.13,-4.88,-6.89,-20.82,-27.71
2012,Kentucky,38,2,77.4,60.6,16.8,7.93,13.97,10.75,24.73
2012,Ohio St.,31,8,74.7,59.8,14.87,9.07,12.58,11.37,23.95
2012,Kansas,32,7,73.5,61.7,11.79,9.93,11.17,10.55,21.72
2012,North Carolina,32,6,81.3,67.1,14.26,7.07,17.03,4.3,21.34
2012,Michigan St.,29,8,71.6,59.3,12.32,9.82,8.73,12.58,21.32
2012,Syracuse,34,3,74.1,61.0,13.11,8.02,11.14,9.99,21.12
2012,Missouri,30,5,80.4,66.3,14.09,5.68,16.13,3.64,19.77
2012,Wisconsin,26,10,64.0,53.2,10.81,8.24,0.58,18.47,19.04
2012,Indiana,27,9,77.3,66.4,10.83,7.8,14.53,4.1,18.63
2012,Florida,26,11,75.9,65.0,10.92,7.33,13.34,4.91,18.25
2012,Wichita St.,27,6,77.1,62.4,14.7,3.8,10.64,6.79,17.42
2012,Duke,27,7,77.3,68.6,8.65,8.4,13.75,3.3,17.05
2012,Marquette,27,8,75.4,65.9,9.43,7.5,12.11,4.82,16.92
2012,Memphis,26,9,74.7,63.1,11.6,5.26,11.14,5.72,16.86
2012,Georgetown,24,9,69.0,59.4,9.67,7.69,4.49,12.32,16.81
2012,Baylor,30,8,74.7,65.3,9.37,8.03,10.2,6.34,16.54
2012,Louisville,30,10,68.2,61.0,7.18,9.02,4.73,11.46,16.19
2012,Vanderbilt,25,11,72.6,65.0,7.67,8.04,9.36,6.35,15.71
2012,New Mexico,28,7,72.7,59.3,13.4,3.34,6.64,8.96,15.6
2012,Saint Louis,26,8,68.7,57.6,11.06,4.06,2.48,12.67,15.15
2012,Florida St.,25,10,69.8,62.9,6.91,7.62,6.0,8.54,14.53
2012,Kansas St.,22,11,71.0,64.1,6.94,7.53,7.66,6.81,14.47
2012,Texas,20,14,72.6,66.8,5.88,8.12,8.0,6.0,14.0
2012,Purdue,22,13,71.8,66.0,5.83,8.05,8.62,5.26,13.88
2012,Gonzaga,26,7,73.8,63.2,10.61,3.25,6.89,6.97,13.86
2012,California,24,10,71.1,61.9,9.26,4.53,6.47,7.33,13.79
2012,Alabama,21,12,64.7,58.1,6.58,7.18,0.16,13.6,13.76
2012,UNLV,26,9,76.3,65.9,10.4,4.37,11.33,2.23,13.55
2012,Iowa St.,23,11,73.2,67.2,6.0,7.32,8.91,4.41,13.32
2012,Michigan,24,10,66.3,61.5,4.85,8.98,3.87,9.32,13.19
2012,Cincinnati,26,11,68.2,61.5,6.65,6.28,4.55,8.38,12.93
2012,Creighton,29,6,79.2,69.7,9.51,3.41,13.18,-0.26,12.92
2012,Stanford,26,11,71.8,63.2,8.65,3.99,6.49,6.15,12.64
2012,Virginia,22,10,62.5,54.2,8.28,4.23,-3.41,15.92,12.51
2012,Connecticut,20,14,68.7,64.5,4.21,8.07,5.05,7.23,12.27
2012,West Virginia,19,14,71.1,66.5,4.61,7.53,7.72,4.41,12.13
2012,North Carolina St.,24,13,72.9,67.6,5.3,6.8,9.17,2.94,12.1
2012,Belmont,27,8,80.9,67.5,13.37,-1.22,11.7,0.12,11.81
2012,Saint Mary's,27,6,74.8,62.7,12.09,0.78,6.01,5.25,11.26
2012,BYU,26,9,77.9,67.4,10.54,1.55,10.45,0.8,11.25
2012,Notre Dame,22,12,66.4,61.7,4.71,6.47,2.42,8.76,11.18
2012,Arizona,23,12,69.0,62.7,6.29,4.62,3.89,7.03,10.91
2012,Washington,24,11,75.6,70.1,5.51,5.27,9.98,0.8,10.79
2012,Miami FL,20,13,70.7,66.1,4.58,6.17,5.76,4.99,10.75
2012,Minnesota,23,15,67.6,64.8,2.82,7.89,4.8,5.9,10.7
2012,UCLA,19,14,68.6,62.5,6.06,5.28,4.15,6.38,10.53
2012,Temple,24,8,75.0,69.5,5.5,4.94,9.09,1.35,10.44
2012,Seton Hall,21,13,68.4,63.8,4.53,5.7,3.45,6.78,10.23
2012,Oregon,24,10,74.3,68.9,5.47,4.72,9.78,0.41,10.19
2012,Xavier,23,13,70.6,67.3,3.36,6.22,5.95,3.64,9.59
2012,Long Beach St.,25,9,73.8,64.0,9.85,0.87,6.44,3.08,9.52
2012,Tennessee,19,15,68.8,65.2,3.59,6.58,3.5,5.99,9.49
2012,Pittsburgh,22,17,69.0,65.5,3.54,5.89,4.65,4.78,9.43
2012,Illinois,17,15,65.6,64.2,1.34,7.99,1.83,7.5,9.33
2012,South Florida,22,14,59.3,56.6,2.69,7.29,-5.08,14.28,9.2
2012,Mississippi St.,21,12,72.0,67.8,4.27,4.86,7.35,1.78,9.13
2012,San Diego St.,26,8,71.1,63.7,7.35,3.79,4.59,4.46,9.04
2012,Virginia Tech,16,17,65.1,62.3,2.73,6.21,0.98,7.95,8.93
2012,Northwestern,19,14,69.3,68.2,1.03,7.84,6.28,2.59,8.87
2012,Oregon St.,21,15,78.9,72.7,6.22,3.38,13.37,-4.54,8.84
2012,VCU,29,7,68.0,59.8,8.17,0.63,2.74,6.05,8.79
2012,Murray St.,31,2,73.1,60.6,12.45,-2.6,3.25,5.49,8.74
2012,New Mexico St.,26,10,78.1,68.3,9.81,0.08,9.12,-0.39,8.73
2012,Middle Tennessee,27,7,72.3,62.6,9.74,-0.13,3.84,4.85,8.69
2012,La Salle,21,13,72.9,66.1,6.74,1.83,5.92,2.64,8.56
2012,Dayton,20,13,71.8,67.6,4.18,4.3,6.87,1.61,8.48
2012,Iona,25,8,82.9,72.7,10.18,-1.82,14.07,-5.7,8.36
2012,Saint Joseph's,20,14,71.9,67.9,4.0,4.25,6.15,2.1,8.25
2012,St. Bonaventure,20,12,70.4,65.0,5.41,2.84,3.67,4.57,8.25
2012,Colorado,24,12,67.5,63.0,4.44,5.73,2.06,5.85,7.91
2012,Villanova,13,19,70.8,70.6,0.25,7.64,7.96,-0.07,7.89
2012,Harvard,26,5,65.6,55.6,9.97,-1.56,-1.58,9.42,7.84
2012,Southern Miss,25,9,71.4,65.1,6.29,3.61,5.67,2.12,7.79
2012,Massachusetts,25,12,76.9,72.4,4.51,2.97,10.76,-3.28,7.49
2012,Drexel,29,7,65.3,56.1,9.17,-1.8,-1.71,9.08,7.37
2012,South Dakota St.,27,8,76.8,66.5,10.29,-1.87,7.0,0.34,7.34
2012,Clemson,16,15,64.5,60.6,3.9,3.41,0.2,7.11,7.31
2012,Oklahoma,15,16,69.1,68.5,0.61,6.67,4.31,2.97,7.28
2012,Davidson,25,8,77.9,67.8,10.09,-1.68,8.39,-1.13,7.26
2012,Ohio,29,8,70.2,62.5,7.73,0.17,2.7,4.46,7.17
2012,Iowa,18,17,73.0,72.5,0.51,6.53,9.11,-2.06,7.04
2012,Oklahoma St.,15,18,66.9,68.2,-1.21,8.95,4.19,2.82,7.02
2012,Marshall,21,14,70.6,68.1,2.54,4.94,5.02,1.98,7.0
2012,Northern Iowa,20,14,65.2,61.9,3.24,4.74,-1.17,8.15,6.99
2012,Wyoming,21,12,62.7,56.2,6.45,1.43,-5.64,12.42,6.79
2012,LSU,18,15,65.4,64.2,1.15,5.51,0.81,5.86,6.66
